slug,folder,strap,title,subtitle,iref,rss,spotify,apple,amazon
a-survey-of-strategy-theory,articles,,A survey of strategy theory,All business leaders ask “how do I achieve superior performance?” The answers are built on strategic management theories that have been refined for decades.,strategy-theory.png,,,,
how-to-make-rigorous-strategic-decisions,articles,,How to make rigorous strategic decisions,,decision-making.png,,,,
value-creation-and-value-capture,articles,,Value creation and value capture,Winning firms create and capture value using economic fundamentals.,value-creation-capture-2.jpg,https://rss.com/podcasts/business-strategy-with-professor-jones/2543054,https://open.spotify.com/episode/5DfnaPtkcFKar70yrrjS8W?si=ef81f105d8994949,https://podcasts.apple.com/us/podcast/value-creation-and-value-capture/id1869704701?i=1000745465328,https://music.amazon.com/podcasts/36857e58-e1bf-476a-8ccc-3ccf9ac8e762/episodes/27d6bb97-49df-4b88-819c-deb61e4febd4/business-strategy-value-creation-and-value-capture
strategic-avenues-to-superior-performance,articles,,Strategic avenues to superior performance,"Five strategic avenues lead to superior performance, each using a different economic logic.",strategic-avenues-2.jpg,https://rss.com/podcasts/business-strategy-with-professor-jones/2543072,https://open.spotify.com/episode/0gNlZJ1QhAOQPHzo4PRDTm?si=8370d1ea22bc46a4,https://podcasts.apple.com/us/podcast/strategic-avenues-to-superior-performance/id1869704701?i=1000745503178,https://music.amazon.com/podcasts/36857e58-e1bf-476a-8ccc-3ccf9ac8e762/episodes/3325ccda-bf14-4193-a91b-dd99b2c3e0d4/business-strategy-strategic-avenues-to-superior-performance
profitability-analysis,articles,,Profitability analysis,Analyzing a firm’s profitability can reveal its strategy⁠—and how well it’s working.,profitability-analysis.png,https://rss.com/podcasts/business-strategy-with-professor-jones/2543081/,https://open.spotify.com/episode/3ylUg6h2e8K0LXVSnbXHXk?si=JmQW6dWiRrCGSjEVhcp_iA,https://podcasts.apple.com/us/podcast/profitability-analysis/id1876677683?i=1000749330103,https://music.amazon.com/podcasts/36857e58-e1bf-476a-8ccc-3ccf9ac8e762/episodes/9e19c08a-12ef-4ee3-a9c9-c449acfd4d5d/business-strategy-profitability-analysis
the-strategy-components-framework,articles,STRATEGY COMPONENTS SERIES,The strategy components framework,First in a three-part series. How the strategy components framework guides choices and capabilities to achieve superior performance.,strategy-components.png,,,,
strategy-components-and-environmental-conditions,articles,STRATEGY COMPONENTS SERIES,Strategy components and environmental conditions,Second in a three-part series. How understanding the environment can improve strategy components.,components-environment.png,,,,
how-to-calibrate-strategy-components,articles,STRATEGY COMPONENTS SERIES,How to calibrate strategy components,Third in a three-part series. How calibrating strategy components can open a new world of possibilities.,calibrate-components.png,,,,
alaska-air-saver-fare,cases,SCENARIO,Alaska Air offers basic economy,Will its “Saver Fare” improve its profitability and attract low-cost customers?,alaska-air-saver-fare.jpg,,,,
peloton-performance,cases,SCENARIO,Peloton’s performance burns out,"Peloton was ablaze during the pandemic, but now it risk burning out completely. What should it do?",peloton-performance.jpg,,,,
netflix-cloud-gaming,cases,SCENARIO,Netflix enters gaming,Does its foray into cloud gaming make good strategic sense?,netflix-cloud-gaming.jpg,,,,
amazon-grocery,cases,SCENARIO,Amazon takes on grocery retail,"Amazon has lofty ambitions in grocery retail, but can it reach them?",amazon-grocery.jpg,,,,
grubhub-strategy,cases,SCENARIO,Grubhub’s market share plummets,Grubhub’s rivals have been stealing market share and its performance is down. What strategies can turn it around? ,grubhub-strategy.jpg,,,,
cvs-health-acquisitions,cases,SCENARIO,CVS Health acquires again,CVS Health has a long history of acquisitions. But do its latest buys make sense?,cvs-health-acquisitions.jpg,,,,
papa-murphys-performance,cases,SCENARIO,Papa Murphy’s performance suffers,Papa Murphy’s Pizza short life as a public company reveals serious performance problems. What strategy should it adopt?,papa-murphys-performance.jpg,,,,
true-classic,cases,SCENARIO,True Classic reinvents the tee,Why did True Classic become a direct-to-consumer success story?,true-classic.webp,,,,
choice-targeting,cases,SCENARIO,Choice Hotels Int'l many hotels,When is there too much choice? Are there enough customers in a segment to offer a large number of products?,choice-hotels.jpg,,,,
disney-strategy,cases,SCENARIO,Disney tries to restore the magic,"Disney dominated the entertainment industry in the 2010s, but it’s struggled since. Should it pursue new strategic acquisitions to restore the magic?",disney-strategy.jpg,,,,
hoka-strategy,cases,SCENARIO,HOKA penetrates premium running,HOKA became a billion dollar running brand in just over a decade. How?,hoka-strategy.webp,,,,
wisk-evtol,cases,SCENARIO,Wisk brings taxis to the skies,Wisk Aero is poised to launch autonomous air taxis. What is its market potential?,wisk-aero.jpg,,,,
bluesky-strategy,cases,SCENARIO,Bluesky marks X,"Bluesky has had impressive growth. But can it beat X, its closest rival?",bluesky.jpg,,,,
betterhelp-business-model,cases,SCENARIO,BetterHelp's business model innovation,Is BetterHelp a better business model than traditional therapy?,betterhelp.jpg,,,,
